6133,6133,b686426,a15048,Try,Pennywise,1995,Try,P!nk,2012,0
9481,9481,b534708,a21716,War,Sick Puppies,2009,War,Sum 41,2016,0
2668,2668,b181002,a7241,Cry,System F,2000,Cry,System F,2000,1
30,30,b214650,a69,Me Love,Sean Kingston,2007,Me Love,Sean Kingston,2007,1
11439,11439,b70464,a26835,Crystal,New Order,2001,Crystal,New Order,2001,1
6639,6639,b125820,a16205,Four Little Diamonds,Electric Light Orchestra,1983,Four Little Diamonds,Electric Light Orchestra,1983,1
4315,4315,b198862,a11034,Medicine Show,Big Audio Dynamite,1985,Medicine Show,Big Audio Dynamite,1986,1
3020,3020,b137452,a7709,Breathe,Trip,2009,Breathe,T̩l̩popmusik,2001,0
13104,13104,b691023,a31897,Brown Skin,India.Arie,2001,Brown Skin,India.Arie,2001,1
11360,11360,b150702,a26621,High,The Cure,1992,High,The Cure,1992,1
3869,3869,b704414,a9823,Don't Bring Me Down,Electric Light Orchestra,1979,Don�۪t Bring Me Down,Electric Light Orchestra,1979,1
4432,4432,b101785,a11502,Space Cowboy,Jamiroquai,1994,Space Cowboy,Jamiroquai,1994,1
2944,2944,b376345,a7599,Friends,Scared Straight,0,Friends,Sneaky Sound System,2012,0
6343,6343,b746459,a15572,Never Gonna Leave Your Side,Daniel Bedingfield,2002,Never Gonna Leave Your Side,Daniel Bedingfield,2003,1
4447,4447,b514601,a11635,All American Boy,Grandpa Jones,0,All American Boy,Guided by Voices,2014,0
9474,9474,b19464,a21708,Take Me Away,DRT,2009,Take Me Away,Doctor P,2016,0
4915,4915,b209147,a13217,Crazy,Alain Morisod,0,Crazy,Alanis Morissette,2005,0
5240,5240,b212422,a13960,Freak Like Me,Soul Destroyer,0,Freak Like Me,Sugababes,2002,0
5705,5705,b700218,a14510,My Love is Pink,Sugababes,2007,My Love is Pink,Sugababes,2007,1
12807,12807,b629284,a30903,What A Wonderful World,Eva Cassidy & Katie Melua,2007,What a Wonderful World,Eva Cassidy-Katie Melua,2007,1
3737,3737,b426597,a9414,Bye Bye Baby,Marilyn Monroe,1987,Bye Bye Baby,Madonna,1993,0
12957,12957,b177158,a31625,Breathe,Skinlab,1999,Breathe,Schiller-September,2008,0
12341,12341,b634712,a28956,Too Young To Die,Jamiroquai,1993,Too Young to Die,Jamiroquai,1993,1
8590,8590,b498981,a20181,Tell Me When,The Applejacks,1964,Tell Me When,The Human League,1995,0
8715,8715,b594802,a20412,Video Killed The Radio Star,Bitch Alert,2005,Video Killed the Radio Star,Buggles,1979,0
5843,5843,b69800,a14599,Tomorrow,Alien Factory,1994,Tomorrow,Amanda Lear,1977,0
6485,6485,b558723,a15853,Remember Me,Charles Caldwell,2004,Remember Me,Chris Mann,2015,0
10190,10190,b565636,a23647,Let's Stick Together,Bryan Ferry,1976,Let's Stick Together,Bryan Ferry,1976,1
13262,13262,b822962,a32734,Watching The Detectives,Elvis Costello,1977,Watching the Detectives,Elvis Costello,1977,1
1413,1413,b41287,a3848,Lullaby,People,0,Lullaby,Professor Green-Tori Kelly,2014,0
5799,5799,b780504,a14565,Behind These Hazel Eyes,Kelly Clarkson,2004,Behind These Hazel Eyes,Kelly Clarkson,2005,1
3918,3918,b631052,a9944,Twilight,Elliott Smith,0,Twilight,Electric Light Orchestra,1981,0
6868,6868,b710339,a16806,You Give Me Something,Jamiroquai,2001,You Give Me Something,James Morrison,2006,0
3699,3699,b321790,a9242,Get Down,MF Grimm,2005,Get Down,Madonna-Otto von Wernherr,1991,0
556,556,b90645,a1660,Getaway,Texas,2005,Getaway,Texas,2005,1
318,318,b109247,a853,Silent Night,Simon Wynberg,0,Silent Night,Sin̩ad O�۪Connor,1991,0
3738,3738,b439923,a9414,Bye Bye Baby,Marilyn Monroe,1987,Bye Bye Baby,Madonna,1993,0
10255,10255,b229502,a23817,Somewhere,The Hot Puppies,0,Somewhere,Tom Waits,1978,0
1618,1618,b460930,a4317,My Love,Warren Hill,0,My Love,Westlife,2000,0
7487,7487,b511833,a18005,White Christmas,Martin Sexton,2005,White Christmas,Michael Bubl̩-Bing Crosby,2012,0
818,818,b395889,a2259,Unbearable,The Wonder Stuff,1988,Unbearable,The Wonder Stuff,1994,1
3385,3385,b542697,a8398,Now I Fall,Wolfsheim,1993,Now I Fall,Wolfsheim,1993,1
6570,6570,b612876,a16071,I Don't Care,Dekad,0,I Don't Care,Delta Goodrem,2001,0
12153,12153,b274177,a28397,Yesterday,Ace Cannon,0,Yesterday,Adam Levine-Tony Lucca,2012,0
12207,12207,b496519,a28495,Maybe,Alison Krauss,1999,Maybe,Alison Krauss,2000,1
9391,9391,b327377,a21561,Something's Been Making Me Blue,Smokie,1976,Something's Been Making Me Blue,Smokie,1976,1
11381,11381,b586030,a26696,What Does Your Soul Look Like,DJ Shadow,0,What Does Your Soul Look Like,DJ Shadow,1997,1
5026,5026,b461470,a13476,Jailbird,Primal Scream,1994,Jailbird,Primal Scream,1994,1
765,765,b802504,a2100,The Rocker,Thin Lizzy,1973,The Rocker,Thin Lizzy,1973,1
724,724,b229430,a1992,Wrong Number,The Cure,1997,Wrong Number,The Cure,1997,1
